datetime,device_total(KB),device_receive(KB),device_transport(KB),package,pid,pid_rx(KB),pid_tx(KB),pid_total(KB)
2024-01-18 19-05-31,543563.13,56368.02,487195.11,com.yangcong345.android.phone,3883,56289.98,487170.62,543460.59
2024-01-18 19-05-36,547272.71,56549.86,490722.85,com.yangcong345.android.phone,3883,56469.8,490616.85,547086.65
2024-01-18 19-05-41,551478.98,57134.56,494344.42,com.yangcong345.android.phone,3883,57055.89,494330.21,551386.1
2024-01-18 19-05-46,555210.01,57324.56,497885.45,com.yangcong345.android.phone,3883,57245.55,497812.1,555057.65
2024-01-18 19-05-51,561481.47,59731.91,501749.56,com.yangcong345.android.phone,3883,59650.42,501617.95,561268.37
2024-01-18 19-05-56,566730.49,62079.94,504650.55,com.yangcong345.android.phone,3883,62002.28,504653.32,566655.6
2024-01-18 19-06-01,570303.22,62255.29,508047.93,com.yangcong345.android.phone,3883,62175.26,507983.67,570158.93
2024-01-18 19-06-06,574117.8,62444.78,511673.02,com.yangcong345.android.phone,3883,62365.44,511613.08,573978.53
2024-01-18 19-06-11,577723.18,62614.08,515109.1,com.yangcong345.android.phone,3883,62535.59,515065.83,577601.41
2024-01-18 19-06-16,581745.27,62814.74,518930.53,com.yangcong345.android.phone,3883,62736.43,518831.25,581567.68
2024-01-18 19-06-21,584646.4,63062.61,521583.79,com.yangcong345.android.phone,3883,62985.55,521596.58,584582.13
2024-01-18 19-06-26,587934.16,63223.27,524710.9,com.yangcong345.android.phone,3883,63145.62,524670.87,587816.49
2024-01-18 19-06-31,591558.81,63403.6,528155.2,com.yangcong345.android.phone,3883,63325.92,528101.17,591427.09
2024-01-18 19-06-36,595475.21,63709.34,531765.86,com.yangcong345.android.phone,3883,63628.88,531746.05,595374.93
2024-01-18 19-06-41,598833.9,63862.05,534971.85,com.yangcong345.android.phone,3883,63781.88,534944.09,598725.98
2024-01-18 19-06-46,602323.83,64064.54,538259.29,com.yangcong345.android.phone,3883,63991.08,538221.13,602212.21
2024-01-18 19-06-51,605806.14,64236.13,541570.01,com.yangcong345.android.phone,3883,64158.77,541562.04,605720.81
2024-01-18 19-06-56,608376.9,64351.98,544024.92,com.yangcong345.android.phone,3883,64309.35,544108.81,608418.16
2024-01-18 19-07-01,610604.07,64487.32,546116.76,com.yangcong345.android.phone,3883,64408.77,546117.18,610525.95
2024-01-18 19-07-06,613296.62,64619.63,548676.98,com.yangcong345.android.phone,3883,64541.72,548605.19,613146.91
2024-01-18 19-07-11,616966.16,64852.4,552113.76,com.yangcong345.android.phone,3883,64772.32,552054.2,616826.52
2024-01-18 19-07-16,620675.45,65082.95,555592.51,com.yangcong345.android.phone,3883,65006.94,555550.46,620557.41
2024-01-18 19-07-21,624790.38,65394.85,559395.53,com.yangcong345.android.phone,3883,65318.31,559340.89,624659.2
2024-01-18 19-07-26,628505.91,65598.19,562907.73,com.yangcong345.android.phone,3883,65518.67,562829.8,628348.47
