datetime,activity window,fps,jank
2024-01-18 19-09-02,,0,0
2024-01-18 19-09-06,,0,0
2024-01-18 19-09-12,,37,6
2024-01-18 19-09-17,,0,0
2024-01-18 19-09-22,,0,0
2024-01-18 19-09-27,,0,0
2024-01-18 19-09-32,,0,0
2024-01-18 19-09-37,,0,0
2024-01-18 19-09-42,,0,0
2024-01-18 19-09-47,,0,0
2024-01-18 19-09-52,,0,0
2024-01-18 19-09-57,,0,0
2024-01-18 19-10-02,,0,0
2024-01-18 19-10-07,,0,0
2024-01-18 19-10-11,,33,1
2024-01-18 19-10-17,,22,6
2024-01-18 19-10-22,,25,6
2024-01-18 19-10-27,,21,7
2024-01-18 19-10-32,,11,1
2024-01-18 19-10-39,,0,0
2024-01-18 19-10-42,,0,0
2024-01-18 19-10-47,,43,4
2024-01-18 19-10-52,,25,6
2024-01-18 19-10-58,,34,0
2024-01-18 19-11-02,,0,0
2024-01-18 19-11-07,,0,0
2024-01-18 19-11-12,,0,0
2024-01-18 19-11-17,,0,0
2024-01-18 19-11-22,,0,0
2024-01-18 19-11-27,,0,0
2024-01-18 19-11-32,,0,0
2024-01-18 19-11-37,,0,0
2024-01-18 19-11-42,,0,0
2024-01-18 19-11-47,,24,4
2024-01-18 19-11-52,,0,0
2024-01-18 19-11-57,,0,0
2024-01-18 19-12-02,,0,0
2024-01-18 19-12-07,,0,0
2024-01-18 19-12-12,,0,0
2024-01-18 19-12-17,,0,0
2024-01-18 19-12-22,,0,0
2024-01-18 19-12-27,,0,0
2024-01-18 19-12-32,,0,0
2024-01-18 19-12-38,,36,3
2024-01-18 19-12-42,,0,0
2024-01-18 19-12-47,,0,0
2024-01-18 19-12-52,,0,0
2024-01-18 19-12-57,,0,0
2024-01-18 19-13-02,,0,0
2024-01-18 19-13-07,,0,0
2024-01-18 19-13-12,,0,0
2024-01-18 19-13-17,,0,0
2024-01-18 19-13-22,,0,0
2024-01-18 19-13-27,,0,0
2024-01-18 19-13-32,,30,7
2024-01-18 19-13-37,,23,7
2024-01-18 19-13-42,,28,5
2024-01-18 19-13-47,,0,0
2024-01-18 19-13-52,,0,0
2024-01-18 19-13-57,,0,0
2024-01-18 19-14-02,,0,0
2024-01-18 19-14-08,,0,0
2024-01-18 19-14-12,,0,0
2024-01-18 19-14-17,,0,0
2024-01-18 19-14-23,,0,0
2024-01-18 19-14-27,,37,5
2024-01-18 19-14-32,,27,6
2024-01-18 19-14-37,,21,6
2024-01-18 19-14-42,,0,0
2024-01-18 19-14-47,,0,0
2024-01-18 19-14-52,,0,0
2024-01-18 19-14-57,,0,0
2024-01-18 19-15-03,,0,0
2024-01-18 19-15-07,,0,0
2024-01-18 19-15-12,,0,0
2024-01-18 19-15-17,,0,0
2024-01-18 19-15-22,,0,0
2024-01-18 19-15-27,,0,0
2024-01-18 19-15-32,,0,0
2024-01-18 19-15-38,,0,0
2024-01-18 19-15-43,,0,0
2024-01-18 19-15-48,,0,0
2024-01-18 19-15-52,,24,6
2024-01-18 19-15-57,,26,4
2024-01-18 19-16-02,,0,0
2024-01-18 19-16-07,,0,0
2024-01-18 19-16-12,,0,0
2024-01-18 19-16-17,,0,0
2024-01-18 19-16-22,,63,0
2024-01-18 19-16-27,,30,6
2024-01-18 19-16-32,,19,5
2024-01-18 19-16-37,,27,5
2024-01-18 19-16-42,,24,7
2024-01-18 19-16-48,,0,0
2024-01-18 19-16-53,,0,0
2024-01-18 19-16-57,,0,0
2024-01-18 19-17-03,,0,0
2024-01-18 19-17-07,,0,0
2024-01-18 19-17-12,,0,0
2024-01-18 19-17-18,,0,0
2024-01-18 19-17-23,,0,0
2024-01-18 19-17-28,,0,0
2024-01-18 19-17-33,,0,0
2024-01-18 19-17-38,,0,0
2024-01-18 19-17-42,,0,0
2024-01-18 19-17-47,,18,6
2024-01-18 19-17-53,,26,5
2024-01-18 19-17-58,,0,0
2024-01-18 19-18-03,,0,0
2024-01-18 19-18-07,,0,0
2024-01-18 19-18-13,,0,0
2024-01-18 19-18-18,,0,0
2024-01-18 19-18-22,,0,0
2024-01-18 19-18-28,,0,0
2024-01-18 19-18-33,,28,6
2024-01-18 19-18-38,,30,0
2024-01-18 19-18-43,,0,0
2024-01-18 19-18-48,,0,0
2024-01-18 19-18-53,,0,0
2024-01-18 19-18-58,,33,5
2024-01-18 19-19-03,,0,0
2024-01-18 19-19-08,,0,0
2024-01-18 19-19-14,,0,0
2024-01-18 19-19-18,,0,0
2024-01-18 19-19-23,,0,0
2024-01-18 19-19-28,,0,0
2024-01-18 19-19-33,,0,0
2024-01-18 19-19-38,,0,0
2024-01-18 19-19-43,,0,0
2024-01-18 19-19-48,,0,0
2024-01-18 19-19-53,,0,0
2024-01-18 19-19-58,,0,0
2024-01-18 19-20-03,,0,0
2024-01-18 19-20-08,,0,0
2024-01-18 19-20-13,,0,0
2024-01-18 19-20-18,,0,0
2024-01-18 19-20-23,,0,0
2024-01-18 19-20-28,,0,0
2024-01-18 19-20-33,,0,0
2024-01-18 19-20-38,,0,0
2024-01-18 19-20-43,,0,0
2024-01-18 19-20-48,,0,0
2024-01-18 19-20-53,,0,0
2024-01-18 19-20-58,,0,0
2024-01-18 19-21-03,,0,0
2024-01-18 19-21-08,,40,5
2024-01-18 19-21-13,,23,7
2024-01-18 19-21-18,,22,8
2024-01-18 19-21-23,,37,4
2024-01-18 19-21-28,,0,0
2024-01-18 19-21-33,,0,0
2024-01-18 19-21-38,,0,0
2024-01-18 19-21-43,,0,0
2024-01-18 19-21-48,,0,0
2024-01-18 19-21-53,,0,0
2024-01-18 19-21-58,,0,0
2024-01-18 19-22-03,,0,0
2024-01-18 19-22-08,,25,5
2024-01-18 19-22-13,,0,0
2024-01-18 19-22-18,,0,0
2024-01-18 19-22-23,,0,0
2024-01-18 19-22-28,,0,0
2024-01-18 19-22-33,,0,0
2024-01-18 19-22-38,,0,0
2024-01-18 19-22-43,,0,0
2024-01-18 19-22-48,,0,0
2024-01-18 19-22-53,,0,0
2024-01-18 19-22-58,,0,0
2024-01-18 19-23-03,,0,0
2024-01-18 19-23-08,,31,1
2024-01-18 19-23-13,,24,5
2024-01-18 19-23-18,,0,0
2024-01-18 19-23-23,,0,0
2024-01-18 19-23-28,,0,0
2024-01-18 19-23-33,,0,0
2024-01-18 19-23-38,,0,0
2024-01-18 19-23-43,,0,0
2024-01-18 19-23-48,,0,0
2024-01-18 19-23-53,,0,0
2024-01-18 19-23-58,,0,0
2024-01-18 19-24-03,,0,0
2024-01-18 19-24-08,,0,0
2024-01-18 19-24-13,,0,0
2024-01-18 19-24-18,,0,0
2024-01-18 19-24-23,,0,0
2024-01-18 19-24-28,,0,0
2024-01-18 19-24-33,,0,0
2024-01-18 19-24-38,,0,0
2024-01-18 19-24-43,,0,0
2024-01-18 19-24-48,,0,0
2024-01-18 19-24-53,,0,0
2024-01-18 19-24-58,,0,0
2024-01-18 19-25-03,,0,0
2024-01-18 19-25-08,,0,0
2024-01-18 19-25-13,,0,0
2024-01-18 19-25-19,,0,0
2024-01-18 19-25-23,,0,0
2024-01-18 19-25-28,,0,0
2024-01-18 19-25-34,,0,0
2024-01-18 19-25-38,,0,0
2024-01-18 19-25-43,,0,0
2024-01-18 19-25-48,,0,0
2024-01-18 19-25-54,,0,0
2024-01-18 19-25-58,,0,0
2024-01-18 19-26-04,,0,0
2024-01-18 19-26-09,,0,0
2024-01-18 19-26-13,,0,0
2024-01-18 19-26-19,,0,0
2024-01-18 19-26-25,,0,0
2024-01-18 19-26-28,,0,0
2024-01-18 19-26-35,,0,0
2024-01-18 19-26-38,,0,0
2024-01-18 19-26-59,,0,0
2024-01-18 19-27-02,,0,0
2024-01-18 19-27-05,,0,0
2024-01-18 19-27-09,,0,0
2024-01-18 19-27-14,,3,2
2024-01-18 19-27-20,,7,3
2024-01-18 19-27-24,,1,3
2024-01-18 19-27-48,,0,0
2024-01-18 19-28-01,,0,0
