datatime,package,pid,pss,java_heap,native_heap,system
2024-06-06 17-35-04,com.yangcong345.android.phone,6389,332.83,42.95,79.55,52.51
2024-06-06 17-35-19,com.yangcong345.android.phone,6389,354.4,44.39,99.54,52.85
2024-06-06 17-35-24,com.yangcong345.android.phone,6389,366.27,40.72,105.47,52.86
2024-06-06 17-35-29,com.yangcong345.android.phone,6389,347.73,39.31,98.12,52.87
2024-06-06 17-35-34,com.yangcong345.android.phone,6389,346.64,38.31,98.03,52.88
2024-06-06 17-35-39,com.yangcong345.android.phone,6389,332.91,37.77,90.35,52.88
2024-06-06 17-35-44,com.yangcong345.android.phone,6389,342.67,41.04,93.79,52.91
2024-06-06 17-35-49,com.yangcong345.android.phone,6389,397.95,46.09,106.24,52.09
2024-06-06 17-35-54,com.yangcong345.android.phone,6389,477.13,46.35,112.19,56.08
2024-06-06 17-35-59,com.yangcong345.android.phone,6389,478.0,44.65,112.43,55.88
2024-06-06 17-36-04,com.yangcong345.android.phone,6389,464.96,48.26,114.07,55.6
2024-06-06 17-36-09,com.yangcong345.android.phone,6389,607.07,47.95,117.68,68.07
2024-06-06 17-36-14,com.yangcong345.android.phone,6389,684.97,48.64,123.85,70.13
2024-06-06 17-36-19,com.yangcong345.android.phone,6389,673.52,57.5,132.5,58.21
2024-06-06 17-36-24,com.yangcong345.android.phone,6389,635.87,51.59,134.37,58.17
2024-06-06 17-36-29,com.yangcong345.android.phone,6389,633.27,48.98,138.84,58.33
2024-06-06 17-36-34,com.yangcong345.android.phone,6389,672.2,50.19,133.9,58.09
2024-06-06 17-36-39,com.yangcong345.android.phone,6389,680.39,50.85,138.42,60.3
2024-06-06 17-36-44,com.yangcong345.android.phone,6389,525.95,51.45,140.04,58.21
2024-06-06 17-36-49,com.yangcong345.android.phone,6389,512.83,49.84,131.34,58.21
2024-06-06 17-36-54,com.yangcong345.android.phone,6389,508.25,51.06,131.37,58.2
2024-06-06 17-36-59,com.yangcong345.android.phone,6389,543.25,52.18,146.68,58.21
2024-06-06 17-37-04,com.yangcong345.android.phone,6389,511.74,50.76,138.34,58.2
2024-06-06 17-37-09,com.yangcong345.android.phone,6389,511.03,50.34,138.08,58.2
2024-06-06 17-37-14,com.yangcong345.android.phone,6389,507.19,50.06,134.51,58.2
2024-06-06 17-37-19,com.yangcong345.android.phone,6389,616.09,53.39,142.32,63.04
2024-06-06 17-37-24,com.yangcong345.android.phone,6389,701.03,54.66,157.23,58.25
2024-06-06 17-37-29,com.yangcong345.android.phone,6389,676.22,50.58,144.13,59.02
2024-06-06 17-37-34,com.yangcong345.android.phone,6389,674.62,51.03,144.38,58.24
2024-06-06 17-37-39,com.yangcong345.android.phone,6389,663.48,54.71,143.94,58.25
2024-06-06 17-37-44,com.yangcong345.android.phone,6389,663.18,52.61,143.83,58.22
2024-06-06 17-37-49,com.yangcong345.android.phone,6389,659.74,50.12,143.89,58.59
2024-06-06 17-37-54,com.yangcong345.android.phone,6389,658.96,50.98,143.89,58.19
2024-06-06 17-37-59,com.yangcong345.android.phone,6389,664.69,53.22,143.82,58.34
2024-06-06 17-38-04,com.yangcong345.android.phone,6389,677.05,50.83,144.76,58.28
2024-06-06 17-38-09,com.yangcong345.android.phone,6389,674.31,50.96,143.82,58.23
2024-06-06 17-38-14,com.yangcong345.android.phone,6389,682.03,52.88,147.77,58.31
2024-06-06 17-38-19,com.yangcong345.android.phone,6389,683.17,50.99,146.92,58.24
2024-06-06 17-38-24,com.yangcong345.android.phone,6389,683.83,51.05,146.93,58.24
2024-06-06 17-38-29,com.yangcong345.android.phone,6389,681.79,51.02,146.46,58.24
2024-06-06 17-38-34,com.yangcong345.android.phone,6389,683.7,50.93,146.46,58.24
2024-06-06 17-38-39,com.yangcong345.android.phone,6389,681.96,50.96,146.46,58.24
