datetime,device_cpu_rate%,user%,system%,idle%,package,pid,pid_cpu%
2024-06-06 17-35-04,348,203,145,448,com.yangcong345.android.phone,6389,83.8
2024-06-06 17-35-09,84,34,50,703,com.yangcong345.android.phone,6389,0.0
2024-06-06 17-35-14,273,118,155,464,com.yangcong345.android.phone,6389,9.0
2024-06-06 17-35-19,118,59,59,679,com.yangcong345.android.phone,6389,44.1
2024-06-06 17-35-24,297,166,131,484,com.yangcong345.android.phone,6389,84.3
2024-06-06 17-35-29,207,124,83,593,com.yangcong345.android.phone,6389,117
2024-06-06 17-35-34,294,187,107,467,com.yangcong345.android.phone,6389,90.0
2024-06-06 17-35-39,309,148,161,491,com.yangcong345.android.phone,6389,81.8
2024-06-06 17-35-44,286,183,103,466,com.yangcong345.android.phone,6389,117
2024-06-06 17-35-49,394,166,228,400,com.yangcong345.android.phone,6389,96.5
2024-06-06 17-35-54,614,383,231,148,com.yangcong345.android.phone,6389,268
2024-06-06 17-35-59,312,224,88,379,com.yangcong345.android.phone,6389,221
2024-06-06 17-36-04,373,290,83,407,com.yangcong345.android.phone,6389,244
2024-06-06 17-36-09,487,357,130,300,com.yangcong345.android.phone,6389,353
2024-06-06 17-36-14,384,242,142,374,com.yangcong345.android.phone,6389,187
2024-06-06 17-36-19,250,157,93,547,com.yangcong345.android.phone,6389,143
2024-06-06 17-36-24,500,279,221,283,com.yangcong345.android.phone,6389,186
2024-06-06 17-36-29,427,327,100,370,com.yangcong345.android.phone,6389,293
2024-06-06 17-36-34,333,223,110,448,com.yangcong345.android.phone,6389,158
2024-06-06 17-36-39,403,279,124,376,com.yangcong345.android.phone,6389,279
2024-06-06 17-36-44,254,167,87,520,com.yangcong345.android.phone,6389,76.6
2024-06-06 17-36-49,191,113,78,609,com.yangcong345.android.phone,6389,78.1
2024-06-06 17-36-54,245,148,97,524,com.yangcong345.android.phone,6389,117
2024-06-06 17-36-59,161,103,58,639,com.yangcong345.android.phone,6389,74.1
2024-06-06 17-37-04,228,131,97,566,com.yangcong345.android.phone,6389,48.2
2024-06-06 17-37-09,218,103,115,582,com.yangcong345.android.phone,6389,39.3
2024-06-06 17-37-14,246,123,123,547,com.yangcong345.android.phone,6389,66.6
2024-06-06 17-37-19,434,341,93,366,com.yangcong345.android.phone,6389,327
2024-06-06 17-37-24,459,328,131,341,com.yangcong345.android.phone,6389,268
2024-06-06 17-37-29,352,207,145,448,com.yangcong345.android.phone,6389,193
2024-06-06 17-37-34,462,297,165,315,com.yangcong345.android.phone,6389,208
2024-06-06 17-37-39,390,221,169,407,com.yangcong345.android.phone,6389,162
2024-06-06 17-37-44,390,270,120,407,com.yangcong345.android.phone,6389,206
2024-06-06 17-37-49,403,217,186,397,com.yangcong345.android.phone,6389,172
2024-06-06 17-37-54,372,255,117,424,com.yangcong345.android.phone,6389,196
2024-06-06 17-37-59,376,255,121,424,com.yangcong345.android.phone,6389,224
2024-06-06 17-38-04,353,233,120,447,com.yangcong345.android.phone,6389,180
2024-06-06 17-38-09,386,241,145,414,com.yangcong345.android.phone,6389,182
2024-06-06 17-38-14,375,241,134,424,com.yangcong345.android.phone,6389,227
2024-06-06 17-38-19,335,197,138,466,com.yangcong345.android.phone,6389,186
2024-06-06 17-38-24,411,245,166,390,com.yangcong345.android.phone,6389,182
2024-06-06 17-38-29,387,266,121,414,com.yangcong345.android.phone,6389,220
2024-06-06 17-38-34,448,248,200,331,com.yangcong345.android.phone,6389,200
2024-06-06 17-38-39,337,234,103,462,com.yangcong345.android.phone,6389,200
2024-06-06 17-38-44,497,266,231,303,com.yangcong345.android.phone,6389,186
2024-06-06 17-38-49,320,210,110,479,com.yangcong345.android.phone,6389,182
2024-06-06 17-38-54,328,221,107,469,com.yangcong345.android.phone,6389,186
2024-06-06 17-38-59,520,341,179,269,com.yangcong345.android.phone,6389,289
2024-06-06 17-39-04,440,279,161,361,com.yangcong345.android.phone,6389,224
2024-06-06 17-39-09,503,272,231,297,com.yangcong345.android.phone,6389,193
2024-06-06 17-39-14,413,310,103,386,com.yangcong345.android.phone,6389,268
2024-06-06 17-39-19,413,297,116,388,com.yangcong345.android.phone,6389,218
2024-06-06 17-39-24,400,238,162,400,com.yangcong345.android.phone,6389,189
2024-06-06 17-39-29,425,273,152,376,com.yangcong345.android.phone,6389,209
2024-06-06 17-39-35,506,271,235,294,com.yangcong345.android.phone,6389,188
2024-06-06 17-39-39,366,239,127,433,com.yangcong345.android.phone,6389,178
2024-06-06 17-39-44,456,297,159,344,com.yangcong345.android.phone,6389,212
2024-06-06 17-39-49,324,206,118,473,com.yangcong345.android.phone,6389,172
2024-06-06 17-39-55,446,288,158,345,com.yangcong345.android.phone,6389,203
2024-06-06 17-40-00,436,291,145,364,com.yangcong345.android.phone,6389,239
2024-06-06 17-40-05,330,227,103,470,com.yangcong345.android.phone,6389,189
2024-06-06 17-40-10,509,342,167,276,com.yangcong345.android.phone,6389,266
2024-06-06 17-40-14,410,293,117,386,com.yangcong345.android.phone,6389,237
2024-06-06 17-40-20,455,264,191,336,com.yangcong345.android.phone,6389,169
2024-06-06 17-40-25,461,276,185,338,com.yangcong345.android.phone,6389,173
2024-06-06 17-40-30,353,230,123,427,com.yangcong345.android.phone,6389,176
2024-06-06 17-40-35,464,264,200,336,com.yangcong345.android.phone,6389,172
2024-06-06 17-40-40,482,285,197,318,com.yangcong345.android.phone,6389,203
2024-06-06 17-40-45,458,261,197,342,com.yangcong345.android.phone,6389,166
2024-06-06 17-40-50,193,90,103,607,com.yangcong345.android.phone,6389,40.0
2024-06-06 17-40-54,248,131,117,552,com.yangcong345.android.phone,6389,62.0
2024-06-06 17-40-59,165,110,55,634,com.yangcong345.android.phone,6389,48.2
2024-06-06 17-41-05,203,82,121,597,com.yangcong345.android.phone,15789,0.0
2024-06-06 17-41-09,321,124,197,479,com.yangcong345.android.phone,6389,44.8
2024-06-06 17-41-14,387,290,97,414,com.yangcong345.android.phone,6389,251
2024-06-06 17-41-20,629,297,332,171,com.yangcong345.android.phone,6389,203
2024-06-06 17-41-24,355,241,114,445,com.yangcong345.android.phone,6389,165
2024-06-06 17-41-29,337,234,103,462,com.yangcong345.android.phone,6389,182
2024-06-06 17-41-35,407,269,138,393,com.yangcong345.android.phone,6389,234
2024-06-06 17-41-40,482,248,234,317,com.yangcong345.android.phone,6389,158
2024-06-06 17-41-45,387,228,159,410,com.yangcong345.android.phone,6389,193
2024-06-06 17-41-50,382,209,173,391,com.yangcong345.android.phone,6389,115
2024-06-06 17-41-55,485,233,252,315,com.yangcong345.android.phone,6389,121
2024-06-06 17-42-00,333,191,142,455,com.yangcong345.android.phone,6389,133
2024-06-06 17-42-05,327,194,133,473,com.yangcong345.android.phone,6389,142
2024-06-06 17-42-10,285,164,121,503,com.yangcong345.android.phone,6389,130
2024-06-06 17-42-15,303,179,124,497,com.yangcong345.android.phone,6389,144
2024-06-06 17-42-20,294,161,133,506,com.yangcong345.android.phone,6389,145
2024-06-06 17-42-25,306,176,130,473,com.yangcong345.android.phone,6389,133
2024-06-06 17-42-30,245,124,121,552,com.yangcong345.android.phone,6389,86.2
2024-06-06 17-42-35,306,183,123,490,com.yangcong345.android.phone,6389,143
2024-06-06 17-42-40,336,209,127,464,com.yangcong345.android.phone,6389,163
2024-06-06 17-42-45,294,166,128,507,com.yangcong345.android.phone,6389,89.6
2024-06-06 17-42-50,330,185,145,442,com.yangcong345.android.phone,6389,142
2024-06-06 17-42-55,234,117,117,566,com.yangcong345.android.phone,6389,106
2024-06-06 17-43-00,254,167,87,547,com.yangcong345.android.phone,6389,123
2024-06-06 17-43-05,382,167,215,418,com.yangcong345.android.phone,6389,121
2024-06-06 17-43-10,97,40,57,703,com.yangcong345.android.phone,6389,0.0
2024-06-06 17-43-15,203,82,121,579,com.yangcong345.android.phone,6389,29.4
2024-06-06 17-43-20,137,50,87,663,com.yangcong345.android.phone,6389,0.0
2024-06-06 17-43-25,140,49,91,660,com.yangcong345.android.phone,6389,14.2
2024-06-06 17-43-30,138,48,90,662,com.yangcong345.android.phone,6389,0.0
2024-06-06 17-43-35,193,83,110,607,com.yangcong345.android.phone,6389,0.0
2024-06-06 17-43-40,61,19,42,706,com.yangcong345.android.phone,6389,0.0
2024-06-06 17-43-45,124,30,94,676,com.yangcong345.android.phone,6389,6.0
2024-06-06 17-43-50,120,50,70,680,com.yangcong345.android.phone,6389,0.0
2024-06-06 17-43-55,328,73,255,461,com.yangcong345.android.phone,6389,0.0
2024-06-06 17-44-00,130,45,85,670,com.yangcong345.android.phone,6389,6.0
2024-06-06 17-44-05,222,48,174,577,com.yangcong345.android.phone,6389,0.0
2024-06-06 17-44-10,127,47,80,670,com.yangcong345.android.phone,6389,23.3
2024-06-06 17-44-15,293,134,159,503,com.yangcong345.android.phone,6389,75.8
2024-06-06 17-44-20,138,24,114,648,com.yangcong345.android.phone,6389,0.0
2024-06-06 17-44-25,193,104,89,607,com.yangcong345.android.phone,6389,3.5
2024-06-06 17-44-30,200,43,157,600,com.yangcong345.android.phone,6389,0.0
2024-06-06 17-44-35,272,217,55,528,com.yangcong345.android.phone,6389,203
