datatime,total_ram(MB),free_ram(MB),package,pid,pid_pss(MB)
2024-06-06 17-35-04,5864.63,3303.72,com.yangcong345.android.phone,6389,524.22
2024-06-06 17-35-59,5864.63,3223.28,com.yangcong345.android.phone,6389,664.63
2024-06-06 17-36-49,5864.63,3209.34,com.yangcong345.android.phone,6389,697.75
2024-06-06 17-37-39,5864.63,3150.07,com.yangcong345.android.phone,6389,844.17
2024-06-06 17-38-29,5864.63,3157.43,com.yangcong345.android.phone,6389,867.62
2024-06-06 17-39-19,5864.63,3124.44,com.yangcong345.android.phone,6389,867.46
2024-06-06 17-40-09,5864.63,3160.83,com.yangcong345.android.phone,6389,860.65
2024-06-06 17-40-59,5864.63,3219.7,com.yangcong345.android.phone,6389,691.32
2024-06-06 17-41-49,5864.63,3124.31,com.yangcong345.android.phone,6389,879.72
2024-06-06 17-42-41,5864.63,3128.18,com.yangcong345.android.phone,6389,830.09
2024-06-06 17-43-31,5864.63,3170.27,com.yangcong345.android.phone,6389,709.48
2024-06-06 17-44-21,5864.63,3181.29,com.yangcong345.android.phone,6389,719.22
