datatime,package,pid,pss,java_heap,native_heap,system
2024-04-18 11-10-46,com.yangcong345.android.phone,8006,245.03,27.38,13.31,12.53
2024-04-18 11-11-09,com.yangcong345.android.phone,8006,415.85,51.18,68.48,19.82
2024-04-18 11-11-14,com.yangcong345.android.phone,8006,425.97,52.92,77.3,20.04
2024-04-18 11-11-19,com.yangcong345.android.phone,8006,416.13,52.22,68.87,20.19
2024-04-18 11-11-24,com.yangcong345.android.phone,8006,408.79,52.03,60.99,20.13
2024-04-18 11-11-29,com.yangcong345.android.phone,8006,408.64,52.4,60.85,20.44
