datetime,device_total(KB),device_receive(KB),device_transport(KB),package,pid,pid_rx(KB),pid_tx(KB),pid_total(KB)
2024-04-18 11-10-46,0.0,0.0,0.0,com.yangcong345.android.phone,8006,0.0,0.0,0.0
2024-04-18 11-10-51,1157.13,463.65,693.48,com.yangcong345.android.phone,8006,460.84,693.33,1154.17
2024-04-18 11-10-56,4017.61,2124.64,1892.96,com.yangcong345.android.phone,8006,2092.11,2025.25,4117.36
2024-04-18 11-11-01,13241.09,4875.12,8365.96,com.yangcong345.android.phone,8006,4845.7,13618.16,18463.85
2024-04-18 11-11-06,63310.34,4956.64,58353.7,com.yangcong345.android.phone,8006,4929.49,58609.32,63538.81
2024-04-18 11-11-11,64851.62,5509.74,59341.88,com.yangcong345.android.phone,8006,5476.18,59336.87,64813.05
2024-04-18 11-11-16,65748.35,5590.07,60158.28,com.yangcong345.android.phone,8006,5556.76,60169.38,65726.14
2024-04-18 11-11-21,67111.42,6116.97,60994.45,com.yangcong345.android.phone,8006,6085.25,60988.18,67073.44
2024-04-18 11-11-26,67819.3,6168.19,61651.12,com.yangcong345.android.phone,8006,6137.54,61755.43,67892.97
