datetime,device_cpu_rate%,user%,system%,idle%,package,pid,pid_cpu%
2024-04-18 11-10-46,347,217,130,447,com.yangcong345.android.phone,8006,70.0
2024-04-18 11-10-51,193,76,117,552,com.yangcong345.android.phone,8006,3.4
2024-04-18 11-10-56,362,193,169,434,com.yangcong345.android.phone,8006,120
2024-04-18 11-11-01,378,168,210,406,com.yangcong345.android.phone,8006,135
2024-04-18 11-11-06,447,236,211,329,com.yangcong345.android.phone,8006,142
2024-04-18 11-11-11,435,252,183,362,com.yangcong345.android.phone,8006,158
2024-04-18 11-11-16,359,197,162,417,com.yangcong345.android.phone,8006,117
2024-04-18 11-11-21,346,173,173,448,com.yangcong345.android.phone,8006,145
2024-04-18 11-11-26,438,222,216,328,com.yangcong345.android.phone,8006,156
