datetime,activity window,fps,jank
2024-07-08 16-04-01,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,55,0
2024-07-08 16-04-03,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,54,0
2024-07-08 16-04-09,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,55,0
2024-07-08 16-04-09,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,49,0
2024-07-08 16-04-11,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,58,0
2024-07-08 16-04-13,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,60,0
2024-07-08 16-04-15,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,60,0
2024-07-08 16-04-17,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,44,0
2024-07-08 16-04-19,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,59,0
2024-07-08 16-04-21,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,47,0
2024-07-08 16-04-23,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,51,0
2024-07-08 16-04-25,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,53,0
2024-07-08 16-04-27,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,52,0
2024-07-08 16-04-29,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,59,0
2024-07-08 16-04-31,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,57,0
2024-07-08 16-04-33,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,60,0
2024-07-08 16-04-35,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,52,0
2024-07-08 16-04-37,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,60,0
2024-07-08 16-04-39,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,33,0
2024-07-08 16-04-41,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,57,0
2024-07-08 16-04-43,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,60,0
2024-07-08 16-04-45,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,51,0
2024-07-08 16-04-47,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,60,0
2024-07-08 16-04-49,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,60,0
2024-07-08 16-04-51,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,60,0
2024-07-08 16-04-54,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,60,0
2024-07-08 16-04-55,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,46,0
2024-07-08 16-04-57,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,59,0
2024-07-08 16-04-59,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,47,0
2024-07-08 16-05-01,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,58,0
2024-07-08 16-05-03,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,59,0
2024-07-08 16-05-05,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,56,0
2024-07-08 16-05-07,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,59,0
2024-07-08 16-05-09,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,59,0
2024-07-08 16-05-11,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,60,0
2024-07-08 16-05-13,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,58,0
2024-07-08 16-05-15,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,53,0
