datetime,device_total(KB),device_receive(KB),device_transport(KB),package,pid,pid_rx(KB),pid_tx(KB),pid_total(KB)
2024-06-06 18-28-20,0.0,0.0,0.0,com.yangcong345.android.phone,6942,0.0,0.0,0.0
2024-06-06 18-28-25,211.82,155.09,56.74,com.yangcong345.android.phone,6942,163.67,57.02,220.69
2024-06-06 18-28-30,892.28,788.53,103.75,com.yangcong345.android.phone,6942,788.53,103.75,892.28
2024-06-06 18-28-35,1282.59,1154.37,128.22,com.yangcong345.android.phone,6942,1170.93,129.05,1299.99
2024-06-06 18-28-40,1753.89,1587.14,166.75,com.yangcong345.android.phone,6942,1621.28,167.85,1789.13
2024-06-06 18-28-45,2253.05,2049.88,203.17,com.yangcong345.android.phone,6942,2064.43,208.38,2272.82
2024-06-06 18-28-50,2727.97,2487.56,240.41,com.yangcong345.android.phone,6942,2505.36,241.36,2746.72
2024-06-06 18-28-55,3021.49,2741.65,279.84,com.yangcong345.android.phone,6942,2747.33,280.05,3027.38
2024-06-06 18-29-00,3564.95,3261.75,303.2,com.yangcong345.android.phone,6942,3273.11,303.71,3576.82
2024-06-06 18-29-05,4264.12,3919.03,345.1,com.yangcong345.android.phone,6942,3920.06,347.22,4267.28
2024-06-06 18-29-10,4581.72,4218.85,362.87,com.yangcong345.android.phone,6942,4228.45,364.51,4592.96
2024-06-06 18-29-15,4917.68,4525.68,392.0,com.yangcong345.android.phone,6942,4558.39,393.38,4951.78
2024-06-06 18-29-20,5253.77,4843.56,410.21,com.yangcong345.android.phone,6942,4862.08,411.79,5273.88
2024-06-06 18-29-25,5717.47,5279.43,438.04,com.yangcong345.android.phone,6942,5296.53,438.47,5735.0
2024-06-06 18-29-30,6060.63,5603.02,457.61,com.yangcong345.android.phone,6942,5620.41,458.57,6078.98
2024-06-06 18-29-35,6579.73,6082.28,497.45,com.yangcong345.android.phone,6942,6136.56,502.24,6638.8
2024-06-06 18-29-40,7030.01,6497.55,532.46,com.yangcong345.android.phone,6942,6518.85,533.46,7052.31
2024-06-06 18-29-45,7352.11,6805.77,546.34,com.yangcong345.android.phone,6942,6807.19,546.41,7353.6
2024-06-06 18-29-50,7710.91,7150.74,560.17,com.yangcong345.android.phone,6942,7152.48,560.63,7713.11
2024-06-06 18-29-55,7715.64,7154.27,561.37,com.yangcong345.android.phone,6942,7154.27,561.37,7715.64
2024-06-06 18-30-00,7715.64,7154.27,561.37,com.yangcong345.android.phone,6942,7154.62,561.66,7716.28
2024-06-06 18-30-05,7718.3,7156.14,562.16,com.yangcong345.android.phone,6942,7156.56,562.52,7719.07
2024-06-06 18-30-10,7727.22,7160.77,566.45,com.yangcong345.android.phone,6942,7160.77,566.45,7727.22
2024-06-06 18-30-15,7727.22,7160.77,566.45,com.yangcong345.android.phone,6942,7160.77,566.45,7727.22
2024-06-06 18-30-20,7736.18,7163.75,572.44,com.yangcong345.android.phone,6942,7163.75,572.44,7736.18
2024-06-06 18-30-25,7827.73,7218.28,609.45,com.yangcong345.android.phone,6942,7219.71,613.25,7832.96
2024-06-06 18-30-30,7886.58,7254.93,631.65,com.yangcong345.android.phone,6942,7255.27,632.47,7887.74
2024-06-06 18-30-35,7913.1,7271.87,641.23,com.yangcong345.android.phone,6942,7271.87,641.23,7913.1
2024-06-06 18-30-40,7913.2,7271.92,641.28,com.yangcong345.android.phone,6942,7271.92,641.28,7913.2
2024-06-06 18-30-45,7929.38,7283.38,646.0,com.yangcong345.android.phone,6942,7284.29,647.68,7931.96
2024-06-06 18-30-50,7952.28,7297.44,654.83,com.yangcong345.android.phone,6942,7297.44,654.83,7952.28
2024-06-06 18-30-55,7952.49,7297.49,654.99,com.yangcong345.android.phone,6942,7297.49,654.99,7952.49
2024-06-06 18-31-00,7968.71,7308.12,660.59,com.yangcong345.android.phone,6942,7308.12,660.59,7968.71
2024-06-06 18-31-05,7968.71,7308.12,660.59,com.yangcong345.android.phone,6942,7308.12,660.59,7968.71
2024-06-06 18-31-10,7977.36,7313.52,663.84,com.yangcong345.android.phone,6942,7313.97,664.4,7978.37
2024-06-06 18-31-15,7983.07,7317.43,665.63,com.yangcong345.android.phone,6942,7317.43,665.63,7983.07
2024-06-06 18-31-20,8003.95,7328.56,675.38,com.yangcong345.android.phone,6942,7328.56,675.38,8003.95
2024-06-06 18-31-25,8036.32,7349.38,686.94,com.yangcong345.android.phone,6942,7349.38,686.94,8036.32
2024-06-06 18-31-30,8039.54,7350.38,689.15,com.yangcong345.android.phone,6942,7350.66,689.33,8039.99
2024-06-06 18-31-35,8071.07,7370.86,700.21,com.yangcong345.android.phone,6942,7370.86,700.21,8071.07
2024-06-06 18-31-40,8073.49,7372.6,700.89,com.yangcong345.android.phone,6942,7372.6,700.89,8073.49
2024-06-06 18-31-45,8102.47,7392.29,710.18,com.yangcong345.android.phone,6942,7393.35,712.21,8105.57
2024-06-06 18-31-50,8114.27,7398.48,715.79,com.yangcong345.android.phone,6942,7398.48,715.79,8114.27
2024-06-06 18-31-55,8117.76,7400.89,716.87,com.yangcong345.android.phone,6942,7400.89,716.87,8117.76
2024-06-06 18-32-00,8184.39,7443.62,740.77,com.yangcong345.android.phone,6942,7443.62,741.31,8184.93
2024-06-06 18-32-05,8190.72,7445.88,744.84,com.yangcong345.android.phone,6942,7445.88,744.84,8190.72
2024-06-06 18-32-10,8191.65,7445.88,745.77,com.yangcong345.android.phone,6942,7447.62,746.23,8193.85
2024-06-06 18-32-15,8243.37,7492.58,750.79,com.yangcong345.android.phone,6942,7497.71,751.22,8248.93
2024-06-06 18-32-20,9762.67,8946.94,815.72,com.yangcong345.android.phone,6942,8955.46,816.11,9771.57
2024-06-06 18-32-25,10424.68,9567.97,856.71,com.yangcong345.android.phone,6942,9573.77,856.97,10430.74
2024-06-06 18-32-30,10913.67,10028.67,885.0,com.yangcong345.android.phone,6942,10029.9,885.26,10915.15
2024-06-06 18-32-35,11273.52,10372.3,901.21,com.yangcong345.android.phone,6942,10372.3,901.21,11273.52
2024-06-06 18-32-40,11314.36,10397.76,916.6,com.yangcong345.android.phone,6942,10407.81,921.12,11328.93
2024-06-06 18-32-45,11710.38,10775.11,935.27,com.yangcong345.android.phone,6942,10775.11,935.27,11710.38
2024-06-06 18-32-50,11729.95,10787.6,942.35,com.yangcong345.android.phone,6942,10787.6,942.35,11729.95
2024-06-06 18-32-55,12153.87,11198.25,955.62,com.yangcong345.android.phone,6942,11198.25,955.62,12153.87
2024-06-06 18-33-00,12235.81,11276.72,959.09,com.yangcong345.android.phone,6942,11321.39,960.32,12281.71
