datetime,activity window,fps,jank
2024-04-18 11-10-54,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,2,1
2024-04-18 11-10-56,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,8,2
2024-04-18 11-10-58,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,53,0
2024-04-18 11-11-00,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,28,0
2024-04-18 11-11-02,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,60,0
2024-04-18 11-11-04,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,59,0
2024-04-18 11-11-06,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,35,0
2024-04-18 11-11-10,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,46,0
2024-04-18 11-11-12,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,47,1
2024-04-18 11-11-14,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,59,0
2024-04-18 11-11-16,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,54,0
2024-04-18 11-11-18,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,50,0
2024-04-18 11-11-20,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,58,0
2024-04-18 11-11-22,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,48,0
2024-04-18 11-11-24,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,59,0
2024-04-18 11-11-26,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,58,0
2024-04-18 11-11-28,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,43,0
