datetime,activity window,fps,jank
2024-06-06 18-28-29,com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,21,0
2024-06-06 18-28-31,com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,17,0
2024-06-06 18-28-33,com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,22,0
2024-06-06 18-28-35,com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,29,0
2024-06-06 18-28-37,com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,30,0
2024-06-06 18-28-39,com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,29,0
2024-06-06 18-28-41,com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,25,2
2024-06-06 18-28-43,com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,32,0
2024-06-06 18-28-45,com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,42,0
2024-06-06 18-28-49,com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,32,0
2024-06-06 18-28-51,com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,29,0
2024-06-06 18-28-53,com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,34,0
2024-06-06 18-28-55,com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,36,0
2024-06-06 18-28-57,com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,24,0
2024-06-06 18-28-59,com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,22,0
2024-06-06 18-29-01,com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,27,0
2024-06-06 18-29-03,com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,29,0
2024-06-06 18-29-05,com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,23,0
2024-06-06 18-29-07,com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,22,0
2024-06-06 18-29-09,com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,25,1
2024-06-06 18-29-11,com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,48,0
2024-06-06 18-29-13,com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,40,0
2024-06-06 18-29-15,com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,35,0
2024-06-06 18-29-17,com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,43,0
2024-06-06 18-29-19,com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,45,0
2024-06-06 18-29-21,com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,50,0
2024-06-06 18-29-23,com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,52,0
2024-06-06 18-29-25,com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,43,0
2024-06-06 18-29-27,com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,54,0
2024-06-06 18-29-29,com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,43,1
2024-06-06 18-29-31,com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,39,0
2024-06-06 18-29-33,com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,50,0
2024-06-06 18-29-35,com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,43,0
2024-06-06 18-29-37,com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,31,0
2024-06-06 18-29-39,com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,28,0
2024-06-06 18-29-41,com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,48,0
2024-06-06 18-29-43,com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,44,0
2024-06-06 18-29-45,com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,51,0
2024-06-06 18-29-47,com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,56,0
2024-06-06 18-29-49,com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,53,0
2024-06-06 18-29-51,com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,42,1
2024-06-06 18-29-53,com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,54,0
