datetime,activity window,fps,jank
2024-03-28 11-48-02,,0,0
2024-03-28 11-48-07,,62,0
2024-03-28 11-48-12,,35,1
2024-03-28 11-48-17,,0,0
2024-03-28 11-48-22,,0,0
