datetime,device_cpu_rate%,user%,system%,idle%,package,pid,pid_cpu%
2024-05-24 19-02-21,585,274,311,215,com.yangcong345.eye.protection,3984,40.7
2024-05-24 19-02-26,30,15,15,770,com.yangcong345.eye.protection,3984,0.0
2024-05-24 19-02-31,138,75,63,659,com.yangcong345.eye.protection,3984,0.0
2024-05-24 19-02-36,82,25,57,714,com.yangcong345.eye.protection,3984,0.0
2024-05-24 19-02-41,265,79,186,532,com.yangcong345.eye.protection,3984,3.5
