datetime,device_cpu_rate%,user%,system%,idle%,package,pid,pid_cpu%
2024-04-18 11-10-46,435,189,246,354,com.yangcong345.android.phone,2205,132
2024-04-18 11-10-51,175,43,132,604,com.yangcong345.android.phone,2205,39.2
2024-04-18 11-10-56,161,61,100,639,com.yangcong345.android.phone,2205,57.1
2024-04-18 11-11-01,117,50,67,680,com.yangcong345.android.phone,2205,0.0
2024-04-18 11-11-06,147,50,97,650,com.yangcong345.android.phone,2205,3.3
2024-04-18 11-11-11,100,38,62,697,com.yangcong345.android.phone,2205,3.4
2024-04-18 11-11-16,113,40,73,687,com.yangcong345.android.phone,2205,0.0
2024-04-18 11-11-21,551,335,216,142,com.yangcong345.android.phone,2205,316
2024-04-18 11-11-26,277,160,117,520,com.yangcong345.android.phone,2205,140
