datetime,device_total(KB),device_receive(KB),device_transport(KB),package,pid,pid_rx(KB),pid_tx(KB),pid_total(KB)
2024-04-18 11-10-45,0.0,0.0,0.0,com.yangcong345.android.phone,2205,0.0,0.0,0.0
2024-04-18 11-10-50,550.81,75.76,475.05,com.yangcong345.android.phone,2205,73.06,476.78,549.84
2024-04-18 11-10-55,1380.71,111.17,1269.54,com.yangcong345.android.phone,2205,109.21,1272.47,1381.68
2024-04-18 11-11-00,2245.96,318.62,1927.34,com.yangcong345.android.phone,2205,314.92,1923.85,2238.77
2024-04-18 11-11-06,3077.03,346.76,2730.27,com.yangcong345.android.phone,2205,346.42,2762.71,3109.12
2024-04-18 11-11-10,3914.48,434.81,3479.67,com.yangcong345.android.phone,2205,433.65,3478.65,3912.3
2024-04-18 11-11-15,4864.77,511.76,4353.01,com.yangcong345.android.phone,2205,511.41,4349.89,4861.3
2024-04-18 11-11-20,5713.69,628.26,5085.43,com.yangcong345.android.phone,2205,740.02,5106.35,5846.37
2024-04-18 11-11-25,11293.38,5088.48,6204.9,com.yangcong345.android.phone,2205,5086.87,6207.06,11293.93
