datetime,device_cpu_rate%,user%,system%,idle%,package,pid,pid_cpu%
2024-06-05 15-13-01,271,161,110,526,com.yangcong345.android.phone,18581,48.3
2024-06-05 15-13-06,88,27,61,712,com.yangcong345.android.phone,18581,0.0
2024-06-05 15-13-11,190,87,103,610,com.yangcong345.android.phone,18581,16.6
2024-06-05 15-13-16,87,34,53,713,com.yangcong345.android.phone,18581,0.0
2024-06-05 15-13-21,164,67,97,637,com.yangcong345.android.phone,18581,0.0
2024-06-05 15-13-26,200,45,155,600,com.yangcong345.android.phone,18581,0.0
2024-06-05 15-13-31,171,71,100,629,com.yangcong345.android.phone,18581,3.5
2024-06-05 15-13-36,196,50,146,593,com.yangcong345.android.phone,18581,110
2024-06-05 15-13-41,517,277,240,273,com.yangcong345.android.phone,18581,296
2024-06-05 15-13-46,496,341,155,303,com.yangcong345.android.phone,18581,334
