datetime,activity window,fps,jank
2024-06-05 15-13-05,com.yangcong345.cloud.ui.launcher/com.yangcong345.cloud.ui.launcher/com.yangcong345.padmodule.new_home.PadHomeActivity,22,1
2024-06-05 15-13-13,com.yangcong345.cloud.ui.launcher/com.yangcong345.cloud.ui.launcher/com.yangcong345.padmodule.new_home.PadHomeActivity,30,0
2024-06-05 15-13-15,com.yangcong345.cloud.ui.launcher/com.yangcong345.cloud.ui.launcher/com.yangcong345.padmodule.new_home.PadHomeActivity,26,0
2024-06-05 15-13-19,com.yangcong345.cloud.ui.launcher/com.yangcong345.cloud.ui.launcher/com.yangcong345.padmodule.new_home.PadHomeActivity,22,0
2024-06-05 15-13-23,com.yangcong345.cloud.ui.launcher/com.yangcong345.cloud.ui.launcher/com.yangcong345.padmodule.new_home.PadHomeActivity,26,0
2024-06-05 15-13-25,com.yangcong345.cloud.ui.launcher/com.yangcong345.cloud.ui.launcher/com.yangcong345.padmodule.new_home.PadHomeActivity,37,0
2024-06-05 15-13-29,com.yangcong345.cloud.ui.launcher/com.yangcong345.cloud.ui.launcher/com.yangcong345.padmodule.new_home.PadHomeActivity,16,0
2024-06-05 15-13-41,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,8,0
2024-06-05 15-13-43,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,24,1
2024-06-05 15-13-45,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,30,0
